x,y
0.8428295,-1.0967572
0.85503286,-1.0972447
0.86664456,-1.0974503
0.8789488,-1.0974356
0.8940512,-1.0970408
0.9072773,-1.0963601
0.92036074,-1.095406
0.9298601,-1.094515
0.93863136,-1.0935951
0.9479276,-1.0924828
0.96004194,-1.0907933
0.97310525,-1.0886854
0.98368055,-1.0867623
0.99542934,-1.08441
1.007892,-1.0816758
1.0196571,-1.0788323
1.034086,-1.0749903
1.0462418,-1.0715208
1.0570037,-1.0683057
1.066867,-1.0651703
1.0792265,-1.0610175
1.0928255,-1.0561193
1.1057385,-1.0511234
1.1199934,-1.0451863
1.1335504,-1.0390918
1.1478765,-1.0321505
1.1620525,-1.0247706
1.1746296,-1.0178206
1.1835897,-1.012684
1.19503,-1.0058935
1.2070961,-0.9983538
1.2196777,-0.99003464
1.2313584,-0.9818649
1.2418787,-0.9741862
1.2533636,-0.9654384
1.262611,-0.9580798
1.2725644,-0.94976217
1.281562,-0.94190055
1.2889801,-0.9352892
1.2978427,-0.92714083
1.3074815,-0.91785014
1.3166525,-0.9085989
1.3252134,-0.8996071
1.3331203,-0.89090854
1.3405169,-0.8824436
1.3481778,-0.87332225
1.3554192,-0.8643063
1.3628001,-0.85472566
1.3694558,-0.8458236
1.3771368,-0.8350734
1.3838044,-0.82520205
1.3901956,-0.81527954
1.3976183,-0.80326515
1.406024,-0.7888782
1.4126328,-0.7768916
1.4195433,-0.763562
1.4256965,-0.7508808
1.4324414,-0.73599064
1.437825,-0.72347975
1.4428905,-0.71086335
1.4481468,-0.6967705
1.4527704,-0.683153
1.4570881,-0.6693943
1.4611615,-0.6552982
1.4643855,-0.6428986
1.4672854,-0.6306996
1.4701943,-0.6169301
1.4728259,-0.6030897
1.4748557,-0.59154415
1.4767938,-0.5792272
1.4785916,-0.565977
1.4801464,-0.55319023
1.4813246,-0.5415824
1.4823669,-0.5286385
1.4832133,-0.51381475
1.4836433,-0.5000612
1.4837462,-0.4856099
1.483532,-0.4713332
1.4831107,-0.45825264
1.4824206,-0.445429
1.4814807,-0.43282446
1.4800148,-0.41819748
1.4784889,-0.40570942
1.4763994,-0.3914302
1.4742227,-0.37894797
1.471782,-0.3664633
1.4685316,-0.35152018
1.4643081,-0.33425158
1.4612944,-0.32283017
1.4574447,-0.30933648
1.4532304,-0.2957158
1.4491582,-0.28361475
1.4449264,-0.27188477
1.4415284,-0.26288494
1.4374387,-0.2524594
1.4321176,-0.23948406
1.4259638,-0.22511528
1.4200081,-0.21183804
1.4154308,-0.20196183
1.4100609,-0.19085492
1.4049622,-0.18077615
1.3993527,-0.17019004
1.3932585,-0.15911503
1.3864506,-0.14713486
1.3788819,-0.13428274
1.3709587,-0.12120707
1.3626186,-0.10794746
1.3553574,-0.09671489
1.3505543,-0.08939766
1.3435494,-0.078973256
1.3359672,-0.06791226
1.3275777,-0.055976816
1.3197459,-0.045120127
1.3127382,-0.03566009
1.3041048,-0.024343645
1.295712,-0.01361399
1.2893215,-0.005589561
1.2829027,0.002377045
1.2770028,0.009632403
1.2679921,0.02053048
1.2580281,0.032321464
1.2479101,0.043956947
1.2388471,0.054111473
1.230488,0.06329741
1.2209715,0.07352793
1.2097305,0.08541959
1.2006149,0.0949305
1.1891162,0.106742725
1.1797383,0.116342925
1.169048,0.12717517
1.1570517,0.1391803
1.1463773,0.14969677
1.1357344,0.1600171
1.1243618,0.17090277
1.1137475,0.18087058
1.102675,0.19114248
1.0931549,0.19982406
1.0843716,0.20775871
1.0769513,0.2144313
1.0691608,0.22140826
1.0600576,0.22951469
1.0507705,0.2377304
1.0404457,0.24681358
1.0313035,0.25479907
1.0218621,0.26292488
1.0127887,0.27068123
1.0031586,0.27886552
0.99254584,0.28781334
0.9841025,0.29489866
0.97428113,0.30307838
0.96230227,0.3129645
0.949409,0.3235952
0.9374748,0.33334628
0.9285496,0.34060225
0.9197518,0.34768492
0.90983903,0.35560665
0.89782655,0.36517903
0.88481885,0.37545627
0.87428075,0.3837537
0.8623546,0.39307615
0.8511404,0.40184367
0.83923787,0.41106752
0.829813,0.41833556
0.8186199,0.4269261
0.8082856,0.43479243
0.7964624,0.4437363
0.7856566,0.4518314
0.77454615,0.46012974
0.7656531,0.46676254
0.75495917,0.47471216
0.7446586,0.48236552
0.73495865,0.48957625
0.7244219,0.49739587
0.713715,0.5053014
0.7019319,0.51401216
0.6908109,0.5221996
0.67982495,0.53024966
0.66876626,0.5382792
0.6611668,0.5437782
0.6535367,0.5492949
0.6445281,0.5557945
0.6339955,0.56337583
0.6218559,0.5720873
0.610106,0.58055395
0.5983548,0.58897805
0.5878692,0.59647816
0.58012134,0.6019867
0.57074827,0.60862476
0.56243634,0.61449456
0.55126286,0.6223249
0.5402892,0.62996423
0.529555,0.63742346
0.5188883,0.644843
0.51130813,0.6500868
0.5028798,0.6559106
0.49273553,0.6628811
0.4828461,0.6696569
0.4743891,0.6754382
0.46803465,0.67975366
0.4592023,0.68573165
0.4505614,0.69157726
0.4402201,0.69853365
0.42927378,0.7058738
0.41969758,0.7122751
0.40972608,0.71891636
0.39777267,0.72683114
0.3858749,0.73470336
0.37551588,0.74152905
0.36665598,0.747362
0.35777286,0.75322837
0.3473804,0.7600864
0.33586338,0.76767176
0.32638732,0.7738835
0.3147774,0.7814772
0.30368057,0.78875905
0.29337755,0.79555273
0.28236663,0.8027915
0.27094474,0.81027335
0.2620286,0.81610864
0.25370482,0.82155913
0.24297561,0.8285373
0.23038496,0.8366888
0.21889746,0.8441118
0.20773825,0.85129565
0.19653706,0.85849446
0.18491401,0.8659814
0.1729144,0.873725
0.16191496,0.8808405
0.15157032,0.88752884
0.14015734,0.8948952
0.12862357,0.90235054
0.11779066,0.9093467
0.10494692,0.91767466
0.09297008,0.92548156
0.08063928,0.93349755
0.06887275,0.941075
0.057036713,0.9486699
0.045438822,0.9560853
0.03644251,0.9618073
0.026254786,0.9682597
0.015189544,0.97524613
0.0036987385,0.98247415
-0.0066520916,0.98898065
-0.018313067,0.99633664
-0.029275622,1.0032884
-0.039578144,1.0098492
-0.049343973,1.016101
-0.061377585,1.0237552
-0.070193574,1.0293396
-0.078646235,1.0346754
-0.089795046,1.0416956
-0.10023354,1.0482777
-0.11031414,1.0546145
-0.12116872,1.0614514
-0.13207223,1.0683519
-0.14110367,1.0740997
-0.1518867,1.0809782
-0.16015513,1.0862365
-0.16707519,1.0906314
-0.17538919,1.0959048
-0.18535574,1.1022319
-0.19573197,1.108826
-0.20798028,1.1166441
-0.22021155,1.1244911
-0.23354532,1.1330913
-0.24587826,1.1409507
-0.25688627,1.1479558
-0.2682783,1.1552162
-0.27600485,1.1601235
-0.28455505,1.1655532
-0.2946808,1.1719006
-0.30486104,1.1781057
-0.3175594,1.1855972
-0.33059368,1.192925
-0.34165218,1.198951
-0.3529255,1.2048823
-0.36554176,1.2112844
-0.37927884,1.2179881
-0.39018705,1.2231734
-0.40334022,1.2291976
-0.41504145,1.234301
-0.4252821,1.2385697
-0.44065663,1.2446839
-0.45665225,1.250653
-0.46954712,1.2551789
-0.4823201,1.2593969
-0.4947577,1.2632835
-0.5044943,1.2661691
-0.5135841,1.268758
-0.52481425,1.2717619
-0.53883606,1.2751955
-0.5504693,1.2777699
-0.5593276,1.2795608
-0.5696088,1.2814449
-0.582863,1.2835916
-0.59605384,1.2854613
-0.6124356,1.28746
-0.6290145,1.2890252
-0.6418061,1.2900066
-0.6556012,1.2907759
-0.6686738,1.2912081
-0.68213755,1.2913234
-0.69548607,1.2911274
-0.70877737,1.290637
-0.72128004,1.2899257
-0.7352738,1.288849
-0.74860775,1.2875333
-0.7621318,1.285934
-0.7722152,1.2845793
-0.78391564,1.2827588
-0.7960405,1.2806442
-0.8106204,1.2777497
-0.8242532,1.2746118
-0.8377448,1.271171
-0.8493361,1.2679598
-0.8628978,1.2638555
-0.876311,1.2594273
-0.8901118,1.254484
-0.9024368,1.2498283
-0.9151152,1.2447205
-0.9263475,1.2398973
-0.93812203,1.2344896
-0.9493856,1.2290068
-0.9599884,1.2235565
-0.9700153,1.2181683
-0.97999936,1.2125269
-0.99211854,1.2053342
-1.003157,1.1983427
-1.0127934,1.1920022
-1.0230799,1.1849269
-1.0351562,1.1762165
-1.0460446,1.1679841
-1.056306,1.1598349
-1.0666419,1.1512456
-1.0788655,1.1405675
-1.0905825,1.1297072
-1.100499,1.1200138
-1.1110305,1.1092303
-1.1186378,1.1012137
-1.1269505,1.0921075
-1.1373006,1.0801665
-1.1470066,1.0683156
-1.1552969,1.0576012
-1.1635425,1.0464742
-1.1709313,1.0359929
-1.1775492,1.0261765
-1.1835151,1.0169678
-1.1893412,1.0076065
-1.1949686,0.9982748
-1.2019103,0.9861564
-1.2082415,0.97444654
-1.2152206,0.96085656
-1.2209525,0.94892305
-1.2272762,0.9349081
-1.2326527,0.92220426
-1.2376685,0.9094248
-1.243078,0.894659
-1.2478423,0.8805325
-1.2512233,0.86998355
-1.2545971,0.858644
